Folder,Form,RecordPosition,AuditAction,error
Screening,,1.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
Adverse Event,,12.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
Adverse Event,,17.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
Adverse Event,,23.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
Adverse Event,,26.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0001,,5.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0001,,6.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0001,,7.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0001,,8.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0001,,9.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0001,,2.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0002,,6.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0002,,7.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0002,,7.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0002,,7.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0002,,8.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0002,,9.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0002,,1.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0002,,3.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,nan,DataPage Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,1.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,2.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,3.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,4.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,5.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,6.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,7.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,1.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,nan,DataPage Inactivated.,None is not of type 'string'
