Folder,Form,RecordPosition,AuditAction,error
EOS Part A (1),,1.0,Record Inactivated.,None is not of type 'string'
Inpatient FUP 1/Day 2 (1),,nan,Amendment Manager: DataPage Inactivated.,None is not of type 'string'
Inpatient FUP 1/Day 2 (1),,nan,Amendment Manager: DataPage Inactivated.,None is not of type 'string'
Inpatient FUP 1/Day 2 (1),,1.0,Record Inactivated.,None is not of type 'string'
Inpatient FUP 2/Day 3 (1),,nan,Amendment Manager: DataPage Inactivated.,None is not of type 'string'
Inpatient FUP 2/Day 3 (1),,nan,Amendment Manager: DataPage Inactivated.,None is not of type 'string'
Inpatient FUP 2/Day 3 (1),,1.0,Record Inactivated.,None is not of type 'string'
Inpatient Treatment/Day 1 (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
Inpatient Treatment/Day 1 (1),,1.0,Record Inactivated.,None is not of type 'string'
Inpatient Treatment/Day 1 (1),,1.0,Record Inactivated.,None is not of type 'string'
Inpatient Treatment/Day 1 (1),,3.0,Record Inactivated.,None is not of type 'string'
Inpatient Treatment/Day 1 (1),,4.0,Record Inactivated.,None is not of type 'string'
Inpatient Treatment/Day 1 (1),,5.0,Record Inactivated.,None is not of type 'string'
Inpatient Treatment/Day 1 (1),,1.0,Record Inactivated.,None is not of type 'string'
Inpatient Treatment/Day 1 (1),,3.0,Record Inactivated.,None is not of type 'string'
Inpatient Treatment/Day 1 (1),,4.0,Record Inactivated.,None is not of type 'string'
Inpatient Treatment/Day 1 (1),,5.0,Record Inactivated.,None is not of type 'string'
Outpatient FUP 1/Day 4 (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
Outpatient FUP 1/Day 4 (1),,1.0,Record Inactivated.,None is not of type 'string'
Outpatient FUP 2/Day 8 (1),,nan,Amendment Manager: DataPage Inactivated.,None is not of type 'string'
Outpatient FUP 2/Day 8 (1),,1.0,Record Inactivated.,None is not of type 'string'
Outpatient FUP 3/Day 12 (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
Outpatient FUP 3/Day 12 (1),,1.0,Record Inactivated.,None is not of type 'string'
Outpatient FUP 4/Day 16 (1),,nan,Amendment Manager: DataPage Inactivated.,None is not of type 'string'
