QueryID,FieldOID,QueryStatus,MarkingGroup,OpenDate,ResponseDate,error
Query_19_0,RACECWT,Open,Site from Field Monitor,2025-10-27,,None is not of type 'string'
Query_19_0,AEYN,Open,Site from Medical Review,2025-11-13,,None is not of type 'string'
Query_19_6,CMSTDAT,Open,Site from Data Manager,2025-10-27,,None is not of type 'string'
Query_19_1,ZJTIM,Open,Site from Field Monitor,2025-10-13,,None is not of type 'string'
Query_19_3,PRSTTIM,Open,Site from Field Monitor,2025-10-13,,None is not of type 'string'
Query_19_4,PRSTTIM,Open,Site from Field Monitor,2025-10-13,,None is not of type 'string'
Query_19_2,AETERM,Open,Site from Medical Review,2025-11-13,,None is not of type 'string'
Query_19_1,MHTERM,Open,Site from Medical Review,2025-11-14,,None is not of type 'string'
Query_19_2,MHTERM,Open,Site from System,2025-09-25,,None is not of type 'string'
Query_19_3,MHTOXGR,Open,Site from Data Manager,2025-10-06,,None is not of type 'string'
Query_19_1,ZATRT,Open,Site from Clinical Review,2025-09-26,,None is not of type 'string'
Query_19_10,CMSTDAT,Open,Site from Field Monitor,2025-11-11,,None is not of type 'string'
Query_19_7,CMTRT,Open,Site from Clinical Review,2025-10-30,,None is not of type 'string'
Query_19_8,CMTRT,Open,Site from Clinical Review,2025-10-30,,None is not of type 'string'
Query_19_0,MHSTDAT,Open,Site from Field Monitor,2025-10-13,,None is not of type 'string'
Query_19_1,CMLDOS,Open,Site from Data Manager,2025-10-06,,None is not of type 'string'
Query_19_0,PRSTTIM,Open,Site from Medical Review,2025-10-08,,None is not of type 'string'
Query_19_0,SSTAT,Open,Site from Clinical Review,2025-10-10,,None is not of type 'string'
Query_19_0,GNDRV,Open,Site from Field Monitor,2025-10-13,,None is not of type 'string'
Query_19_1,ZJLSID,Open,Site from Field Monitor,2025-10-15,,None is not of type 'string'
Query_19_1,PSTADMRU,Open,Site from Data Manager,2025-10-27,,None is not of type 'string'
Query_19_0,VEOCCUR,Open,Site from Field Monitor,2025-10-14,,None is not of type 'string'
Query_19_0,ZAYN,Open,Site from Field Monitor,2025-10-14,,None is not of type 'string'
Query_19_1,ZATRT,Open,Site from System,2025-11-05,,None is not of type 'string'
Query_19_2,PCTIM,Open,Site from Data Manager,2025-11-12,,None is not of type 'string'
Query_19_0,CMYN,Open,Site from Clinical Review,2025-10-24,,None is not of type 'string'
Query_19_0,VSDAT,Open,Site from Field Monitor,2025-11-11,,None is not of type 'string'
Query_19_4,MHTERM,Open,Site from System,2025-11-05,,None is not of type 'string'
Query_19_5,MHONGO,Open,Site from Data Manager,2025-10-27,,None is not of type 'string'
Query_19_1,PRMTD,Open,Site from Data Manager,2025-10-27,,None is not of type 'string'
Query_19_0,PRSTTIM,Open,Site from Data Manager,2025-10-11,,None is not of type 'string'
Query_19_0,FARESCD_2,Open,Site from Field Monitor,2025-10-14,,None is not of type 'string'
Query_19_0,SSTAT,Open,Site from Data Manager,2025-11-06,,None is not of type 'string'
Query_19_0,ECDOSPCB,Open,Site from Medical Review,2025-11-12,,None is not of type 'string'
Query_19_1,PRSTDAT,Open,Site from System,2025-10-28,,None is not of type 'string'
Query_19_1,SENTVND,Open,Site from System,2025-10-28,,None is not of type 'string'
Query_19_1,PRSTAT,Open,Site from System,2025-10-28,,None is not of type 'string'
Query_19_2,PRSTAT,Open,Site from Clinical Review,2025-11-04,,None is not of type 'string'
Query_19_1,VSRESN,Open,Site from System,2025-10-28,,None is not of type 'string'
Query_19_2,VSRESN,Open,Site from System,2025-10-28,,None is not of type 'string'
Query_19_3,VSRESN,Open,Site from System,2025-10-28,,None is not of type 'string'
Query_19_4,VSRESN,Open,Site from System,2025-10-28,,None is not of type 'string'
Query_19_5,VSRESN,Open,Site from System,2025-10-28,,None is not of type 'string'
Query_19_1,VSRESN,Open,Site from System,2025-10-28,,None is not of type 'string'
Query_19_2,VSRESN,Open,Site from System,2025-10-28,,None is not of type 'string'
Query_19_3,VSRESN,Open,Site from System,2025-10-28,,None is not of type 'string'
Query_19_4,VSRESN,Open,Site from System,2025-10-28,,None is not of type 'string'
Query_19_1,ZATRT,Open,Site from System,2025-11-13,,None is not of type 'string'
Query_19_1,PCTIM,Open,Site from Data Manager,2025-11-12,,None is not of type 'string'
Query_19_2,SMPTAK,Open,Site from Data Manager,2025-11-12,,None is not of type 'string'
Query_19_1,RADACTM,Open,Site from System,2025-10-28,,None is not of type 'string'
Query_19_1,RDMTIM,Open,Site from System,2025-10-28,,None is not of type 'string'
Query_19_2,RADACTM,Open,Site from System,2025-10-28,,None is not of type 'string'
Query_19_2,RDMTIM,Open,Site from System,2025-10-28,,None is not of type 'string'
Query_19_3,RADACTM,Open,Site from System,2025-10-28,,None is not of type 'string'
Query_19_3,RDMTIM,Open,Site from System,2025-10-28,,None is not of type 'string'
Query_19_4,RADACTM,Open,Site from System,2025-10-28,,None is not of type 'string'
Query_19_4,RDMTIM,Open,Site from System,2025-10-28,,None is not of type 'string'
Query_19_5,RADACTM,Open,Site from System,2025-11-05,,None is not of type 'string'
Query_19_5,RDMTIM,Open,Site from System,2025-11-05,,None is not of type 'string'
Query_19_6,RADACTM,Open,Site from System,2025-11-05,,None is not of type 'string'
Query_19_6,RDMTIM,Open,Site from System,2025-11-05,,None is not of type 'string'
Query_19_7,RADACTM,Open,Site from System,2025-11-05,,None is not of type 'string'
Query_19_7,RDMTIM,Open,Site from System,2025-11-05,,None is not of type 'string'
Query_19_1,PRTRT,Open,Site from System,2025-11-05,,None is not of type 'string'
Query_19_1,TULOC,Open,Site from Clinical Review,2025-11-14,,None is not of type 'string'
Query_19_0,QSDAT,Open,Site from Field Monitor,2025-11-11,,None is not of type 'string'
Query_19_1,ASSDATE,Open,Site from Data Manager,2025-11-05,,None is not of type 'string'
Query_19_0,AEYN,Open,Site from Field Monitor,2025-11-11,,None is not of type 'string'
Query_19_1,AESTDAT,Open,Site from Field Monitor,2025-11-11,,None is not of type 'string'
Query_19_1,AETOXGR,Open,Site from Field Monitor,2025-11-11,,None is not of type 'string'
Query_19_2,AESTDAT,Open,Site from Field Monitor,2025-11-11,,None is not of type 'string'
Query_19_1,MHSTDAT,Open,Site from Field Monitor,2025-11-11,,None is not of type 'string'
Query_19_12,CMSTDAT,Open,Site from Field Monitor,2025-11-11,,None is not of type 'string'
Query_19_0,EGDAT,Open,Site from Field Monitor,2025-11-10,,None is not of type 'string'
Query_19_0,FARESCD_8,Open,Site from Field Monitor,2025-11-10,,None is not of type 'string'
Query_19_1,PRSTDAT,Open,Site from Field Monitor,2025-11-10,,None is not of type 'string'
Query_19_0,VSDAT,Open,Site from Field Monitor,2025-11-10,,None is not of type 'string'
Query_19_2,SMPTAK,Open,Site from Field Monitor,2025-11-11,,None is not of type 'string'
Query_19_1,ECVMEVT,Open,Site from Field Monitor,2025-11-10,,None is not of type 'string'
Query_19_1,QSTSTLG,Open,Site from Field Monitor,2025-11-10,,None is not of type 'string'
Query_19_1,ECDOSE,Open,Site from Field Monitor,2025-11-12,,None is not of type 'string'
Query_19_1,ECSTDAT,Open,Site from Data Manager,2025-11-06,,None is not of type 'string'
Query_19_2,DSSTDAT,Open,Site from Field Monitor,2025-11-11,,None is not of type 'string'
Query_19_1,MHONGO,Open,Site from Medical Review,2025-11-14,,None is not of type 'string'
Query_19_0,EGDAT,Open,Site from Field Monitor,2025-11-11,,None is not of type 'string'
Query_19_1,PRSTDAT,Open,Site from Medical Review,2025-11-13,,None is not of type 'string'
Query_19_2,PRSTDAT,Open,Site from Medical Review,2025-11-13,,None is not of type 'string'
Query_19_3,PRLOCOTH,Open,Site from Medical Review,2025-11-13,,None is not of type 'string'
Query_19_0,RACECBL,Open,Site from Field Monitor,2025-11-10,,None is not of type 'string'
Query_19_2,DSSCAT,Open,Site from Field Monitor,2025-11-10,,None is not of type 'string'
Query_19_3,MHONGO,Open,Site from Medical Review,2025-11-14,,None is not of type 'string'
Query_19_1,CMTRT,Open,Site from Field Monitor,2025-11-10,,None is not of type 'string'
Query_19_0,EGDAT,Open,Site from Field Monitor,2025-11-10,,None is not of type 'string'
Query_19_2,CMLDOS,Open,Site from Data Manager,2025-10-27,,None is not of type 'string'
Query_19_0,QSDAT,Open,Site from Field Monitor,2025-11-10,,None is not of type 'string'
Query_19_0,VSDAT,Open,Site from Field Monitor,2025-11-10,,None is not of type 'string'
Query_19_0,SSTAT,Open,Site from Field Monitor,2025-11-10,,None is not of type 'string'
Query_19_0,VEOCCUR,Open,Site from Clinical Review,2025-11-06,,None is not of type 'string'
Query_19_2,TULOCDTL,Open,Site from Clinical Review,2025-11-10,,None is not of type 'string'
Query_19_1,ECDOSE,Open,Site from Field Monitor,2025-11-12,,None is not of type 'string'
Query_19_1,AEOUT,Open,Site from Medical Review,2025-11-13,,None is not of type 'string'
Query_19_1,AECONTRT,Open,Site from Data Manager,2025-11-05,,None is not of type 'string'
Query_19_0,SSTAT,Open,Site from Clinical Review,2025-11-03,,None is not of type 'string'
Query_19_0,CMYN,Open,Site from Medical Review,2025-11-03,,None is not of type 'string'
Query_19_12,CMTRT,Open,Site from Clinical Review,2025-10-30,,None is not of type 'string'
Query_19_7,CMTRT,Open,Site from System,2025-11-03,,None is not of type 'string'
Query_19_1,PRENDAT,Open,Site from Data Manager,2025-11-07,,None is not of type 'string'
Query_19_0,SSTAT,Open,Site from Clinical Review,2025-11-04,,None is not of type 'string'
Query_19_1,ECENDAT,Open,Site from Medical Review,2025-11-12,,None is not of type 'string'
Query_19_0,VEOCCUR,Open,Site from Clinical Review,2025-11-04,,None is not of type 'string'
Query_19_1,ASSDATE,Open,Site from Data Manager,2025-11-05,,None is not of type 'string'
Query_19_0,TUYN,Open,Site from Clinical Review,2025-11-13,,None is not of type 'string'
Query_19_0,TURESCD1,Open,Site from Clinical Review,2025-10-24,,None is not of type 'string'
Query_19_1,ECDOSE,Open,Site from Field Monitor,2025-11-12,,None is not of type 'string'
Query_19_0,TSTYN,Open,Site from Safety,2025-11-02,,None is not of type 'string'
Query_19_1,SAE_STDT,Open,Site from Safety,2025-11-02,,None is not of type 'string'
Query_19_1,SAE_DRG1,Open,Site from Safety,2025-11-02,,None is not of type 'string'
Query_19_1,INVDT,Open,Site from Safety,2025-11-02,,None is not of type 'string'
Query_19_1,SAE_ENDT,Open,Site from Safety,2025-11-02,,None is not of type 'string'
Query_19_1,SAE_OTHER,Open,Site from Safety,2025-11-02,,None is not of type 'string'
Query_19_1,SAE_OUT,Open,Site from Safety,2025-11-12,,None is not of type 'string'
Query_19_0,AEYN,Open,Site from Medical Review,2025-10-13,,None is not of type 'string'
Query_19_0,AEYN,Open,Site from Field Monitor,2025-11-09,,None is not of type 'string'
Query_19_1,AESCONG,Open,Site from System,2025-10-13,,None is not of type 'string'
Query_19_1,AESDTH,Open,Site from System,2025-10-13,,None is not of type 'string'
Query_19_1,AESDISAB,Open,Site from System,2025-10-13,,None is not of type 'string'
Query_19_1,AESLIFE,Open,Site from System,2025-10-13,,None is not of type 'string'
Query_19_1,AESMIE,Open,Site from System,2025-10-13,,None is not of type 'string'
Query_19_1,AEOUT,Open,Site from System,2025-10-13,,None is not of type 'string'
Query_19_1,AMPREL,Open,Site from System,2025-10-13,,None is not of type 'string'
Query_19_1,AETOXGR,Open,Site from System,2025-10-13,,None is not of type 'string'
Query_19_1,AECONTRT,Open,Site from System,2025-10-13,,None is not of type 'string'
Query_19_3,ZATRT,Open,Site from System,2025-11-05,,None is not of type 'string'
Query_19_0,AGE,Open,Site from Field Monitor,2025-11-07,,None is not of type 'string'
Query_19_0,INV_RTNL,Open,Site from Safety,2025-10-13,,None is not of type 'string'
Query_19_0,INV_RTNL,Open,Site from Field Monitor,2025-11-07,,None is not of type 'string'
Query_19_0,VEOCCUR,Open,Site from Clinical Review,2025-11-10,,None is not of type 'string'
