Folder,Form,RecordPosition,AuditAction,error
EOT1 (1),,None,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
Long term FU (1)/Long term FU 1 (1),,None,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
Long term FU 5 (1),,None,DataPage Inactivated.,None is not of type 'string'
Long term FU 8 (1),,None,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
Cycle 6 Week 6_CO (1),,None,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
Week 24 (1),,None,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
Post CYCLE 6 Visit 7 (1),,None,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
Post CYCLE 6 Visit 9 (1),,None,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
Post CYCLE 6 Visit 12 (1),,None,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
Long term FU 5 (1),,None,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
Long term FU (1)/Long term FU 1 (1),,None,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
30-DAY SAFETY FOLLOW UP (1),,None,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
Ga PET/CT scan post rPD (1),,None,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
Disposition,,None,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
Post CYCLE 6 Visit 7 (1),,None,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
Post CYCLE 6 Visit 8 (1),,None,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
Post CYCLE 6 Visit 7 (1),,None,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
Cross-over baseline (1),,None,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
EOT1 (1),,None,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
Post CYCLE 6 Visit 12 (1),,None,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
Long term FU (1)/Long term FU 1 (1),,None,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
Post CYCLE 6 Visit 8 (1),,None,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
EOT 2 (1),,None,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
EOT1 (1),,None,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
Long term FU 4 (1),,None,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
EOT1 (1),,None,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
Long term FU (1)/Long term FU 1 (1),,None,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
Post CYCLE 6 Visit 7 (1),,None,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
Post CYCLE 6 Visit 7 (1),,None,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
Post CYCLE 6 Visit 7 (1),,None,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
Withdrawal of Informed Consent(s) (1),,None,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
Long term FU 6 (1),,None,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
EOT1 (1),,None,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
EOT1 (1),,None,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
Post CYCLE 6 Visit 4 (1),,None,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
Symptomatic Skeletal Events (1),,None,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
Cycle 2 Week 5_CO (1),,None,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
