QueryID,FieldOID,QueryStatus,MarkingGroup,OpenDate,ResponseDate,error
Query_4_12,PRTRT,Open,Site from System,2025-11-13,,None is not of type 'string'
Query_4_49,CMTRT,Open,Site from System,2025-11-11,,None is not of type 'string'
Query_4_8,ECREASDC,Open,Site from Clinical Review,2025-11-07,,None is not of type 'string'
Query_4_4,ECDOSE,Open,Site from Clinical Review,2025-11-11,,None is not of type 'string'
Query_4_4,ECREASDC,Open,Site from Clinical Review,2025-11-11,,None is not of type 'string'
Query_4_2,ECREASDC,Open,Site from Clinical Review,2025-11-11,,None is not of type 'string'
Query_4_0,SVSTDT,Open,Site from Data Manager,2025-11-10,,None is not of type 'string'
Query_4_16,AEOUT,Open,Site from Data Manager,2025-11-09,,None is not of type 'string'
Query_4_16,AEOUT,Open,Site from System,2025-11-12,,None is not of type 'string'
Query_4_3,PRSTDAT,Open,Site from Data Manager,2025-11-10,,None is not of type 'string'
Query_4_1,VSRESN,Open,Site from Clinical Review,2025-11-10,,None is not of type 'string'
Query_4_2,DECSYDC,Open,Site from Clinical Review,2025-11-04,,None is not of type 'string'
Query_4_4,ECREASDC,Open,Site from Data Manager,2025-11-04,,None is not of type 'string'
Query_4_0,PRTORGVN,Open,Monitor from DM,2025-11-06,,None is not of type 'string'
Query_4_0,SSTAT,Open,Site from Data Manager,2025-11-06,,None is not of type 'string'
Query_4_6,DSDECOD,Open,Site from Data Manager,2025-11-10,,None is not of type 'string'
Query_4_0,SVSTDT,Open,Site from Data Manager,2025-11-08,,None is not of type 'string'
Query_4_12,ECDOSE,Open,Site from Clinical Review,2025-11-11,,None is not of type 'string'
Query_4_1,ECREASDC,Open,Site from Clinical Review,2025-11-05,,None is not of type 'string'
Query_4_15,AETERM,Open,Site from System,2025-11-10,,None is not of type 'string'
Query_4_78,CMSTDAT,Open,Site from System,2025-11-10,,None is not of type 'string'
Query_4_0,VEOCCUR,Open,Site from Data Manager,2025-11-09,,None is not of type 'string'
Query_4_1,RESTKND,Open,Site from Data Manager,2025-10-31,,None is not of type 'string'
Query_4_0,AEYN,Open,Site from Medical Review,2025-11-01,,None is not of type 'string'
Query_4_12,AETERM,Open,Site from Medical Review,2025-11-01,,None is not of type 'string'
Query_4_12,AETERM,Open,Site from Medical Review,2025-11-01,,None is not of type 'string'
Query_4_12,AEENDAT,Open,Site from Clinical Review,2025-10-31,,None is not of type 'string'
Query_4_12,AECONTRT,Open,Site from Medical Review,2025-11-01,,None is not of type 'string'
Query_4_0,AEYN,Open,Site from Medical Review,2025-11-01,,None is not of type 'string'
Query_4_22,AETERM,Open,Site from Medical Review,2025-11-01,,None is not of type 'string'
Query_4_0,SVSTDT,Open,Site from Data Manager,2025-11-09,,None is not of type 'string'
Query_4_1,PRTRT,Open,Site from Data Manager,2025-08-19,,None is not of type 'string'
Query_4_0,PRTORGVN,Open,Site from Data Manager,2025-11-07,,None is not of type 'string'
Query_4_0,SSTAT,Open,Site from Data Manager,2025-10-27,,None is not of type 'string'
Query_4_2,ECDOSDIS,Open,Site from Clinical Review,2025-10-29,,None is not of type 'string'
Query_4_2,ECREASDC,Open,Site from Clinical Review,2025-10-29,,None is not of type 'string'
Query_4_2,ECENDAT,Open,Site from Clinical Review,2025-11-05,,None is not of type 'string'
Query_4_2,ECSTDAT,Open,Site from Clinical Review,2025-11-05,,None is not of type 'string'
Query_4_0,SVSTDT,Open,Site from Data Manager,2025-11-09,,None is not of type 'string'
Query_4_2,DECSYDC,Open,Site from Clinical Review,2025-11-04,,None is not of type 'string'
Query_4_1,PRMETHOD,Open,Site from Data Manager,2025-09-29,,None is not of type 'string'
Query_4_2,ECENDAT,Open,FM from Clinical Review,2025-11-04,,None is not of type 'string'
Query_4_1,ECENDAT,Open,Site from Clinical Review,2025-11-09,,None is not of type 'string'
Query_4_30,CMINDSP,Open,Site from Clinical Review,2025-11-09,,None is not of type 'string'
Query_4_2,DECSYDC,Open,Site from Data Manager,2025-11-10,,None is not of type 'string'
Query_4_29,CMSTDAT,Open,Site from Data Manager,2025-11-08,,None is not of type 'string'
Query_4_1,ECREASDC,Open,Site from Clinical Review,2025-11-05,,None is not of type 'string'
Query_4_3,ECENDAT,Open,Site from Clinical Review,2025-11-05,,None is not of type 'string'
Query_4_2,ECSTDAT,Open,Site from Clinical Review,2025-11-05,,None is not of type 'string'
Query_4_1,VSRESN,Open,Site from Clinical Review,2025-11-07,,None is not of type 'string'
