Folder,Form,RecordPosition,AuditAction,error
68GA-NNS309 IMAGING (1),,1.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
68GA-NNS309 IMAGING (1),,2.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
SCREENING,,1.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
68GA-NNS309 IMAGING (1),,1.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
68GA-NNS309 IMAGING (1),,2.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
68GA-NNS309 IMAGING (1),,3.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
ADVERSE EVENT,,2.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
ADVERSE EVENT,,11.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
ADVERSE EVENT,,12.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
CONCOMITANT MEDICATION (1),,25.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
CYCLE 1 DAY 29 (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
CYCLE 2 DAY 1 (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
CYCLE 2 DAY 15 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
CYCLE 2 DAY 29 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
END OF TREATMENT (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
END OF TREATMENT (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
END OF TREATMENT (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
END OF TREATMENT (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
END OF TREATMENT (1),,1.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
END OF TREATMENT (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
END OF TREATMENT (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
END OF TREATMENT (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
END OF TREATMENT (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
END OF TREATMENT (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
END OF TREATMENT (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
END OF TREATMENT (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
MEDICAL HISTORY (1),,1.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
PROCEDURES (1),,11.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
PROTOCOL DEVIATION,,2.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
SCREENING,,1.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
UNPLANNED VISIT (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
UNPLANNED VISIT (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
68GA-NNS309 IMAGING (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
68GA-NNS309 IMAGING (1),,1.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
