QueryID,FieldOID,QueryStatus,MarkingGroup,OpenDate,ResponseDate,error
Query_11_0,INV_RTNL,Open,Site from Safety,2025-11-12,,None is not of type 'string'
Query_11_1,VSRESN,Open,Site from Data Manager,2025-11-06,,None is not of type 'string'
Query_11_4,DSSTDAT,Open,Site from Clinical Review,2025-11-11,,None is not of type 'string'
Query_11_0,FARESCD_30,Open,Site from Clinical Review,2025-10-31,,None is not of type 'string'
Query_11_0,SSTAT,Open,Site from Data Manager,2025-11-03,,None is not of type 'string'
Query_11_0,SSTAT,Open,Site from Data Manager,2025-11-03,,None is not of type 'string'
Query_11_0,SSTAT,Open,Site from Data Manager,2025-11-07,,None is not of type 'string'
Query_11_0,SSTAT,Open,Site from Data Manager,2025-11-07,,None is not of type 'string'
Query_11_0,SSTAT,Open,Site from Data Manager,2025-11-03,,None is not of type 'string'
Query_11_0,FARESCD_1,Open,Site from Clinical Review,2025-11-12,,None is not of type 'string'
Query_11_0,FARESCD_29,Open,Site from Clinical Review,2025-11-12,,None is not of type 'string'
Query_11_21,AETERM,Open,Site from System,2025-11-11,,None is not of type 'string'
Query_11_21,AEREL,Open,Site from System,2025-11-10,,None is not of type 'string'
Query_11_22,AEACN,Open,Site from System,2025-11-10,,None is not of type 'string'
Query_11_22,AEREL,Open,Site from System,2025-11-10,,None is not of type 'string'
Query_11_0,FARESDAT_8,Open,Site from System,2025-11-13,,None is not of type 'string'
Query_11_16,CMTRT,Open,DM from System,2025-11-13,,None is not of type 'string'
Query_11_0,SSTAT,Open,Site from Clinical Review,2025-10-28,,None is not of type 'string'
Query_11_0,DSREAS2,Open,Site from System,2025-11-04,,None is not of type 'string'
Query_11_0,FARESCD,Open,Site from Clinical Review,2025-11-05,,None is not of type 'string'
Query_11_0,FARESCD,Open,Site from System,2025-11-04,,None is not of type 'string'
Query_11_0,CMYN,Open,Site from Clinical Review,2025-11-11,,None is not of type 'string'
Query_11_6,AETERM,Open,Site from System,2025-11-12,,None is not of type 'string'
Query_11_4,AECONTRT,Open,Site from System,2025-11-06,,None is not of type 'string'
Query_11_0,FAYN,Open,Site from Data Manager,2025-11-11,,None is not of type 'string'
Query_11_0,INV_RTNL,Open,Site from Safety,2025-11-12,,None is not of type 'string'
Query_11_1,VSRESN,Open,Site from Data Manager,2025-11-06,,None is not of type 'string'
Query_11_4,DSSTDAT,Open,Site from Clinical Review,2025-11-11,,None is not of type 'string'
Query_11_0,FARESCD_30,Open,Site from Clinical Review,2025-10-31,,None is not of type 'string'
Query_11_0,SSTAT,Open,Site from Data Manager,2025-11-03,,None is not of type 'string'
Query_11_0,SSTAT,Open,Site from Data Manager,2025-11-03,,None is not of type 'string'
Query_11_0,SSTAT,Open,Site from Data Manager,2025-11-07,,None is not of type 'string'
Query_11_0,SSTAT,Open,Site from Data Manager,2025-11-07,,None is not of type 'string'
Query_11_0,SSTAT,Open,Site from Data Manager,2025-11-03,,None is not of type 'string'
Query_11_0,FARESCD_1,Open,Site from Clinical Review,2025-11-12,,None is not of type 'string'
Query_11_0,FARESCD_29,Open,Site from Clinical Review,2025-11-12,,None is not of type 'string'
Query_11_21,AETERM,Open,Site from System,2025-11-11,,None is not of type 'string'
Query_11_21,AEREL,Open,Site from System,2025-11-10,,None is not of type 'string'
Query_11_22,AEACN,Open,Site from System,2025-11-10,,None is not of type 'string'
Query_11_22,AEREL,Open,Site from System,2025-11-10,,None is not of type 'string'
Query_11_0,FARESDAT_8,Open,Site from System,2025-11-13,,None is not of type 'string'
Query_11_16,CMTRT,Open,DM from System,2025-11-13,,None is not of type 'string'
Query_11_0,SSTAT,Open,Site from Clinical Review,2025-10-28,,None is not of type 'string'
Query_11_0,DSREAS2,Open,Site from System,2025-11-04,,None is not of type 'string'
Query_11_0,FARESCD,Open,Site from Clinical Review,2025-11-05,,None is not of type 'string'
Query_11_0,FARESCD,Open,Site from System,2025-11-04,,None is not of type 'string'
Query_11_0,CMYN,Open,Site from Clinical Review,2025-11-11,,None is not of type 'string'
Query_11_6,AETERM,Open,Site from System,2025-11-12,,None is not of type 'string'
Query_11_4,AECONTRT,Open,Site from System,2025-11-06,,None is not of type 'string'
Query_11_0,FAYN,Open,Site from Data Manager,2025-11-11,,None is not of type 'string'
