FormName,IsMissing,DaysMissing,error
Form 4,True,,nan is not of type 'integer'
Form 6,True,,nan is not of type 'integer'
Form 5,True,,nan is not of type 'integer'
Form 4,True,,nan is not of type 'integer'
Form 7,True,,nan is not of type 'integer'
Form 8,True,,nan is not of type 'integer'
Form 9,True,,nan is not of type 'integer'
Form 15,True,,nan is not of type 'integer'
Form 16,True,,nan is not of type 'integer'
Form 17,True,,nan is not of type 'integer'
Form 9,True,,nan is not of type 'integer'
Form 9,True,,nan is not of type 'integer'
Form 12,True,,nan is not of type 'integer'
Form 15,True,,nan is not of type 'integer'
Form 17,True,,nan is not of type 'integer'
Form 15,True,,nan is not of type 'integer'
Form 17,True,,nan is not of type 'integer'
Form 9,True,,nan is not of type 'integer'
Form 9,True,,nan is not of type 'integer'
Form 9,True,,nan is not of type 'integer'
Form 18,True,,nan is not of type 'integer'
Form 7,True,,nan is not of type 'integer'
Form 19,True,,nan is not of type 'integer'
