FormName,IsMissing,DaysMissing,error
Form 12,True,,nan is not of type 'integer'
Form 13,True,,nan is not of type 'integer'
Form 14,True,,nan is not of type 'integer'
Form 15,True,,nan is not of type 'integer'
Form 17,True,,nan is not of type 'integer'
Form 18,True,,nan is not of type 'integer'
Form 19,True,,nan is not of type 'integer'
Form 20,True,,nan is not of type 'integer'
Form 21,True,,nan is not of type 'integer'
Form 22,True,,nan is not of type 'integer'
Form 23,True,,nan is not of type 'integer'
Form 24,True,,nan is not of type 'integer'
Form 25,True,,nan is not of type 'integer'
Form 13,True,,nan is not of type 'integer'
Form 12,True,,nan is not of type 'integer'
Form 27,True,,nan is not of type 'integer'
Form 12,True,,nan is not of type 'integer'
Form 29,True,,nan is not of type 'integer'
Form 16,True,,nan is not of type 'integer'
Form 30,True,,nan is not of type 'integer'
Form 1,True,,nan is not of type 'integer'
Form 31,True,,nan is not of type 'integer'
Form 32,True,,nan is not of type 'integer'
Form 33,True,,nan is not of type 'integer'
Form 34,True,,nan is not of type 'integer'
Form 13,True,,nan is not of type 'integer'
Form 13,True,,nan is not of type 'integer'
Form 14,True,,nan is not of type 'integer'
Form 28,True,,nan is not of type 'integer'
Form 35,True,,nan is not of type 'integer'
Form 15,True,,nan is not of type 'integer'
Form 13,True,,nan is not of type 'integer'
Form 13,True,,nan is not of type 'integer'
Form 13,True,,nan is not of type 'integer'
Form 27,True,,nan is not of type 'integer'
Form 37,True,,nan is not of type 'integer'
Form 27,True,,nan is not of type 'integer'
Form 12,True,,nan is not of type 'integer'
Form 39,True,,nan is not of type 'integer'
Form 22,True,,nan is not of type 'integer'
Form 23,True,,nan is not of type 'integer'
Form 24,True,,nan is not of type 'integer'
Form 25,True,,nan is not of type 'integer'
Form 13,True,,nan is not of type 'integer'
Form 29,True,,nan is not of type 'integer'
Form 33,True,,nan is not of type 'integer'
Form 15,True,,nan is not of type 'integer'
Form 34,True,,nan is not of type 'integer'
Form 13,True,,nan is not of type 'integer'
Form 13,True,,nan is not of type 'integer'
