FormName,IsMissing,DaysMissing,error
From 4,True,,nan is not of type 'integer'
From 4,True,,nan is not of type 'integer'
From 10,True,,nan is not of type 'integer'
From 11,True,,nan is not of type 'integer'
From 12,True,,nan is not of type 'integer'
From 13,True,,nan is not of type 'integer'
From 4,True,,nan is not of type 'integer'
From 4,True,,nan is not of type 'integer'
From 10,True,,nan is not of type 'integer'
From 11,True,,nan is not of type 'integer'
From 12,True,,nan is not of type 'integer'
From 13,True,,nan is not of type 'integer'
