QueryID,FieldOID,QueryStatus,MarkingGroup,OpenDate,ResponseDate,error
Query_15_1,DSDECOD,Open,Site from System,2025-11-13,,None is not of type 'string'
Query_15_1,DSSTDAT,Open,Site from System,2025-11-13,,None is not of type 'string'
Query_15_2,DSDECOD,Open,Site from System,2025-11-13,,None is not of type 'string'
Query_15_0,SSTAT,Open,Site from System,2025-11-10,,None is not of type 'string'
Query_15_1,PCTIM,Open,Site from System,2025-11-12,,None is not of type 'string'
Query_15_1,PCTIM,Open,Site from System,2025-11-12,,None is not of type 'string'
Query_15_7,EGRESN,Open,Site from System,2025-11-13,,None is not of type 'string'
Query_15_1,MHTERM,Open,Site from System,2025-11-13,,None is not of type 'string'
Query_15_2,MHTERM,Open,Site from System,2025-11-13,,None is not of type 'string'
Query_15_3,VSRESN,Open,Site from System,2025-11-13,,None is not of type 'string'
Query_15_1,IECAT,Open,Site from Field Monitor,2025-11-06,,None is not of type 'string'
Query_15_0,SSTAT,Open,Site from Data Manager,2025-11-13,,None is not of type 'string'
Query_15_0,VEOCCUR,Open,Site from System,2025-11-11,,None is not of type 'string'
Query_15_1,DSDECOD,Open,Site from System,2025-11-13,,None is not of type 'string'
Query_15_1,DSSTDAT,Open,Site from System,2025-11-13,,None is not of type 'string'
Query_15_2,DSDECOD,Open,Site from System,2025-11-13,,None is not of type 'string'
Query_15_0,SSTAT,Open,Site from System,2025-11-10,,None is not of type 'string'
Query_15_1,PCTIM,Open,Site from System,2025-11-12,,None is not of type 'string'
Query_15_1,PCTIM,Open,Site from System,2025-11-12,,None is not of type 'string'
Query_15_7,EGRESN,Open,Site from System,2025-11-13,,None is not of type 'string'
Query_15_1,MHTERM,Open,Site from System,2025-11-13,,None is not of type 'string'
Query_15_2,MHTERM,Open,Site from System,2025-11-13,,None is not of type 'string'
Query_15_3,VSRESN,Open,Site from System,2025-11-13,,None is not of type 'string'
Query_15_1,IECAT,Open,Site from Field Monitor,2025-11-06,,None is not of type 'string'
Query_15_0,SSTAT,Open,Site from Data Manager,2025-11-13,,None is not of type 'string'
Query_15_0,VEOCCUR,Open,Site from System,2025-11-11,,None is not of type 'string'
